region,school,class,credits
Wellington,S1,C1,36
Wellington,S1,C1,22
Wellington,S1,C1,80
Wellington,S1,C1,5
Wellington,S1,C2,50
Wellington,S1,C2,24
Wellington,S1,C2,66
Wellington,S1,C2,26
Wellington,S2,C3,10
Wellington,S2,C3,20
Wellington,S2,C3,26
Wellington,S2,C3,16
Wellington,S2,C4,35
Wellington,S2,C4,17
Wellington,S2,C4,19
Wellington,S2,C4,79
Wellington,S3,C5,58
Wellington,S3,C5,20
Wellington,S3,C5,36
Wellington,S3,C5,5
Wellington,S3,C6,27
Wellington,S3,C6,72
Wellington,S3,C6,10
Wellington,S3,C6,27
Auckland,S4,C7,92
Auckland,S4,C7,48
Auckland,S4,C7,65
Auckland,S4,C7,79
Auckland,S4,C8,33
Auckland,S4,C8,36
Auckland,S4,C8,5
Auckland,S4,C8,44
Auckland,S5,C9,20
Auckland,S5,C9,36
Auckland,S5,C9,17
Auckland,S5,C9,45
Auckland,S5,C10,19
Auckland,S5,C10,64
Auckland,S5,C10,77
Auckland,S5,C10,39
Auckland,S6,C11,14
Auckland,S6,C11,25
Auckland,S6,C11,41
Auckland,S6,C11,21
Auckland,S6,C12,39
Auckland,S6,C12,22
Auckland,S6,C12,52
Auckland,S6,C12,22
