region,school,class,credits
Wellington,s1,c1,36
Wellington,s1,c1,22
Wellington,s1,c1,80
Wellington,s1,c1,5
Wellington,s1,c2,50
Wellington,s1,c2,24
Wellington,s1,c2,66
Wellington,s1,c2,26
Wellington,s2,c3,10
Wellington,s2,c3,20
Wellington,s2,c3,26
Wellington,s2,c3,16
Wellington,s2,c4,35
Wellington,s2,c4,17
Wellington,s2,c4,19
Wellington,s2,c4,79
Wellington,s3,c5,58
Wellington,s3,c5,20
Wellington,s3,c5,36
Wellington,s3,c5,5
Wellington,s3,c6,27
Wellington,s3,c6,72
Wellington,s3,c6,10
Wellington,s3,c6,27
Auckland,s4,c7,92
Auckland,s4,c7,48
Auckland,s4,c7,65
Auckland,s4,c7,79
Auckland,s4,c8,33
Auckland,s4,c8,36
Auckland,s4,c8,5
Auckland,s4,c8,44
Auckland,s5,c9,20
Auckland,s5,c9,36
Auckland,s5,c9,17
Auckland,s5,c9,45
Auckland,s5,c10,19
Auckland,s5,c10,64
Auckland,s5,c10,77
Auckland,s5,c10,39
Auckland,s6,c11,14
Auckland,s6,c11,25
Auckland,s6,c11,41
Auckland,s6,c11,21
Auckland,s6,c12,39
Auckland,s6,c12,22
Auckland,s6,c12,52
Auckland,s6,c12,22
